country_code,country,offers,esco_records_stale_skipped,offers_with_any_digital,any_digital_pct,basic_offer_pct,intermediate_offer_pct,advanced_offer_pct,digital_mentions,basic_mentions_pct,intermediate_mentions_pct,advanced_mentions_pct
jp,Japan,302262,0,242221,80.1361070859056,51.382575381622566,63.992165737009614,34.16340790440082,1490363,21.299173422850675,42.81534096055793,35.885485616591396
kr,South Korea,169933,0,97944,57.636833340198784,32.46044029117358,44.286866000129464,26.1079366573885,485840,24.443232339864977,46.88024864152808,28.67651901860695
tw,Taiwan,117672,0,100642,85.52756815555102,54.67995784893603,72.82531103406077,50.52433884016588,835378,18.95285726940379,45.592055333034864,35.45508739756134
th,Thailand,65544,0,37288,56.890028072745025,44.37324545343586,47.17136580007323,20.8150250213597,247086,35.58315728127049,49.41113620358903,15.005706515140478
malaysia,Malaysia,176662,0,130075,73.62930341556192,60.50197552388176,61.080481371206034,25.189910676885805,985015,39.73990243803394,47.2823256498632,12.977771912102861
sg,Singapore,149582,0,117445,78.5154630904788,60.68978887834098,70.52385982270594,43.52328488721905,1156330,24.922037826571998,47.5101398389733,27.567822334454696
ph,Philippines,175615,0,156355,89.03282749195684,75.69398969336332,76.23266805227344,35.23844774079663,1305059,39.482199655341255,48.28486681445053,12.232933530208213
vn,Vietnam,134424,0,128704,95.74480747485568,79.93513063143486,89.19389394750938,34.568975778134856,1156136,35.89179819675194,49.05798279787153,15.05021900537653
id,Indonesia,113505,0,75716,66.70719351570415,50.59336593101626,56.56755209021629,25.982115325316066,541411,30.097467543141903,50.49860457212728,19.403927884730823
pl,Poland,134784,0,116306,86.29065764482431,67.03095322886989,76.98910849952517,49.793002136752136,1048010,25.049951813436895,46.94354061507047,28.006507571492637
mx,Mexico,219762,0,183464,83.48304074407768,64.9543597164205,64.84060028576368,25.38518943220393,979635,39.43448325141507,45.13650492275184,15.429011825833092
in,India,223220,0,189248,84.78093360809963,63.81641429979393,73.58390825194876,36.77761849296658,1682523,27.863036641995386,51.84618575793615,20.29077760006847
cl,Chile,80000,0,61488,76.86,50.415,59.6425,31.66,330053,30.4454133124074,46.85550502495054,22.699081662642058
